OFFICIAL_SYMBOL_FOR_A	OFFICIAL_SYMBOL_FOR_B	INTERACTOR_A	INTERACTOR_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
g1	g1									
g1	g2									
g1	g3									
g1	g4									
g2	g1									
g2	g2									
g2	g3									
g2	g4									
g2	g52									
g3	g1									
g3	g2									
g3	g3									
g3	g4									
g4	g1									
g4	g131									
g4	g2									
g4	g3									
g4	g4									
g4	g5									
g5	g4									
g5	g6									
g6	g5									
g7	g8									
g8	g7									
g8	g9									
g9	g10									
g9	g8									
g10	g11									
g10	g9									
g11	g10									
g11	g12									
g12	g11									
g12	g118									
g13	g14									
g14	g13									
g14	g15									
g15	g14									
g15	g16									
g15	g59									
g16	g15									
g16	g17									
g17	g16									
g17	g18									
g18	g17									
g18	g43									
g18	g80									
g19	g20									
g20	g142									
g20	g19									
g20	g21									
g21	g157									
g21	g20									
g21	g22									
g22	g21									
g22	g23									
g23	g22									
g23	g24									
g24	g23									
g25	g26									
g26	g25									
g26	g27									
g27	g26									
g27	g28									
g28	g27									
g28	g29									
g29	g28									
g29	g30									
g30	g140									
g30	g29									
g31	g32									
g32	g31									
g32	g33									
g33	g32									
g33	g34									
g34	g33									
g34	g35									
g35	g160									
g35	g34									
g35	g36									
g36	g35									
g36	g61									
g37	g38									
g38	g116									
g38	g37									
g38	g39									
g39	g38									
g39	g40									
g39	g71									
g40	g39									
g40	g41									
g41	g40									
g41	g42									
g42	g41									
g43	g139									
g43	g18									
g43	g44									
g44	g43									
g44	g45									
g45	g44									
g45	g46									
g46	g45									
g46	g47									
g47	g46									
g47	g48									
g48	g47									
g49	g50									
g50	g169									
g50	g49									
g50	g51									
g51	g50									
g51	g52									
g52	g2									
g52	g51									
g52	g53									
g53	g52									
g53	g54									
g54	g53									
g55	g56									
g56	g55									
g56	g57									
g57	g56									
g57	g58									
g58	g57									
g58	g59									
g59	g15									
g59	g58									
g59	g60									
g60	g59									
g61	g166									
g61	g36									
g61	g62									
g62	g111									
g62	g61									
g62	g63									
g63	g137									
g63	g62									
g63	g64									
g64	g63									
g64	g65									
g64	g68									
g65	g64									
g65	g66									
g66	g65									
g67	g68									
g68	g64									
g68	g67									
g68	g69									
g69	g68									
g69	g70									
g70	g69									
g70	g71									
g71	g170									
g71	g39									
g71	g70									
g71	g72									
g72	g71									
g73	g74									
g74	g73									
g74	g75									
g75	g74									
g75	g76									
g76	g127									
g76	g75									
g76	g77									
g77	g76									
g77	g78									
g78	g77									
g79	g149									
g79	g80									
g79	g96									
g80	g18									
g80	g79									
g80	g81									
g81	g80									
g81	g82									
g82	g81									
g82	g83									
g83	g82									
g83	g84									
g84	g180									
g84	g83									
g85	g86									
g86	g85									
g86	g87									
g87	g158									
g87	g86									
g87	g88									
g88	g87									
g88	g89									
g89	g88									
g89	g90									
g90	g89									
g91	g92									
g92	g91									
g92	g93									
g93	g92									
g93	g94									
g94	g93									
g94	g95									
g95	g94									
g95	g96									
g96	g79									
g96	g95									
g97	g98									
g98	g97									
g98	g99									
g99	g100									
g99	g98									
g100	g101									
g100	g99									
g101	g100									
g101	g102									
g102	g101									
g102	g136									
g103	g104									
g104	g103									
g104	g105									
g105	g104									
g105	g106									
g106	g105									
g106	g107									
g107	g106									
g107	g108									
g107	g127									
g108	g107									
g109	g110									
g109	g121									
g110	g109									
g110	g111									
g111	g110									
g111	g112									
g111	g62									
g112	g111									
g112	g113									
g113	g112									
g113	g114									
g114	g113									
g115	g116									
g116	g115									
g116	g117									
g116	g38									
g117	g116									
g117	g118									
g118	g117									
g118	g119									
g118	g12									
g119	g118									
g119	g120									
g120	g119									
g121	g109									
g121	g122									
g122	g121									
g122	g123									
g123	g122									
g123	g124									
g124	g123									
g124	g125									
g125	g124									
g125	g126									
g126	g125									
g127	g107									
g127	g128									
g127	g153									
g127	g76									
g128	g127									
g128	g129									
g129	g128									
g129	g130									
g130	g129									
g130	g131									
g131	g130									
g131	g132									
g131	g4									
g132	g131									
g133	g134									
g134	g133									
g134	g135									
g135	g134									
g135	g136									
g136	g102									
g136	g135									
g136	g137									
g137	g136									
g137	g138									
g137	g63									
g138	g137									
g139	g140									
g139	g43									
g140	g139									
g140	g141									
g140	g30									
g141	g140									
g141	g142									
g142	g141									
g142	g143									
g142	g20									
g143	g142									
g143	g144									
g144	g143									
g145	g146									
g146	g145									
g146	g147									
g147	g146									
g147	g148									
g148	g147									
g148	g149									
g149	g148									
g149	g150									
g149	g79									
g150	g149									
g151	g152									
g151	g176									
g152	g151									
g152	g153									
g153	g127									
g153	g152									
g153	g154									
g154	g153									
g154	g155									
g155	g154									
g155	g156									
g156	g155									
g157	g158									
g157	g21									
g158	g157									
g158	g159									
g158	g87									
g159	g158									
g159	g160									
g160	g159									
g160	g161									
g160	g35									
g161	g160									
g161	g162									
g162	g161									
g163	g164									
g164	g163									
g164	g165									
g165	g164									
g165	g166									
g166	g165									
g166	g167									
g166	g61									
g167	g166									
g167	g168									
g168	g167									
g169	g170									
g169	g50									
g170	g169									
g170	g171									
g170	g71									
g171	g170									
g171	g172									
g172	g171									
g172	g173									
g173	g172									
g173	g174									
g174	g173									
g175	g176									
g176	g151									
g176	g175									
g176	g177									
g177	g176									
g177	g178									
g178	g177									
g178	g179									
g179	g178									
g179	g180									
g180	g179									
g180	g84									
