seed	Zm	Zn	zcount
CSNK2B	8.147517804497687	7.8397943041050855	0
PPP6R3	8.11669468199008	7.809490588057026	0
PSMB9	8.062878846672593	7.756581613894924	0
GNL1	8.061944642563349	7.755663152241648	0
ARHGAP23	8.061690363411369	7.7554131579973395	0
CLIC1	8.027376706647987	7.738493602892266	0
TBCE	8.087167536290902	7.737952393818914	0
NOP2	8.030593524216393	7.724840337715287	0
PRTFDC1	8.072596557607461	7.723681824171827	0
MRPL49	8.02766451546403	7.721960686261676	0
CSN2	8.070007032740103	7.721145687390946	0
PPP2R1B	8.068626157534599	7.7197932816107855	0
MYCBP2	8.024211373213957	7.718565733586328	0
MED9	8.019640480190542	7.714071865574304	0
WAPL	8.06085022878899	7.712177668744567	0
LNPEP	8.057082870586244	7.708487981950988	0
FTH1	8.053281294161536	7.704764782410577	0
MPP2	8.051419727402019	7.702941595466752	0
ANGPT2	8.045905323587613	7.697540881801234	0
DDX39B	8.041165970775053	7.692899239955266	0
FLNA	8.039997849161463	7.691755201438351	0
DDX21	8.03794971853021	7.689749296999493	0
YEATS4	8.036510539230399	7.688339789177212	0
CSN1S1	8.031836485367357	7.683762100016045	0
ACVRL1	8.029951321673858	7.68191580263488	0
MTMR10	7.983855642113638	7.678890044795417	0
EIF3H	8.024814550222757	7.676884935707773	0
RPS6KA2	8.024814550222757	7.676884935707773	0
NCAPD2	7.980175776990264	7.6752721897982035	0
FGF1	8.01779665001337	7.670011723146685	0
CCDC106	8.017016468933251	7.669247627015392	0
GPHA2	8.01947079011469	7.667730009760302	0
ARPC4	8.013869820573962	7.666165852925833	0
MED19	8.009892477742396	7.662270510744548	0
PGK1	7.965880112108528	7.661217423958454	0
AIMP1	8.008732946026061	7.661134885027467	0
PROSER2	7.960647267496168	7.656072759033041	0
PSMB7	7.955429686375188	7.650943100390934	0
DCAF7	7.995632304677103	7.648304338853908	0
SLC2A4	7.998996040433639	7.647659479686503	0
SUGT1	7.991020167143702	7.643787289496947	0
QSOX1	7.991000526344638	7.643768053631116	0
RCC1	7.947574864851284	7.643220641999191	0
ABCE1	7.990003073097135	7.64279116482032	0
PCBP1	7.989676483962228	7.642471308954978	0
RUFY1	7.985757848725684	7.638633463997578	0
DBT	7.940887251551577	7.636645722977812	0
RANGAP1	7.981606732679264	7.634567931273897	0
MYO19	7.981606732679264	7.634567931273897	0
STK10	7.984719519416376	7.633664810697149	0
