seed	genes
MAP2K4	MAP2K4
MAP2K4	CLIC1
MAP2K4	VASP
MAP2K4	MYC
MAP2K4	HSPA1A
MAP2K4	MAP3K11
MAP2K4	PSMA5
MAP2K4	HSPA1L
MYPN	MYPN
MYPN	CSNK2B
MYPN	BAG6
MYPN	HSPA1A
MYPN	DPT
MYPN	HSPA1L
ACVR1	ACVR1
ACVR1	CLIC1
ACVR1	MYC
ACVR1	HSPA1A
ACVR1	CIT
ACVR1	UBTF
ACVR1	VARS
ACVR1	EDA
ACVR1	HSPA1L
GATA2	GATA2
GATA2	CLIC1
GATA2	MYC
GATA2	HSPA1A
GATA2	RBX1
GATA2	VARS
GATA2	HSPA1L
GATA2	DNAJB7
ARF1	ARF1
ARF1	RABGEF1
ARF1	OFD1
ARF1	RAB6A
ARF1	AIP
ARF1	VPS45
ARF3	ARF3
ARF3	ARFIP2
ARF3	CLIC1
ARF3	MYC
ARF3	HSPA1A
ARF3	VARS
ARF3	SARS
ARF3	HSPA1L
XRN1	XRN1
XRN1	CLIC1
XRN1	MYC
XRN1	FADS1
XRN1	HSPA1A
XRN1	VARS
XRN1	PSMA5
XRN1	HSPA1L
APP	APP
APP	CLIC1
APP	GPANK1
APP	PSMA5
APP	MVB12A
APP	RPUSD2
APLP1	APLP1
APLP1	CLIC1
APLP1	CSNK2B
APLP1	NFKBIA
APLP1	MYC
APLP1	HSPA1A
APLP1	PDS5A
APLP1	HSPA1L
CITED2	CITED2
CITED2	EP300
CITED2	CSNK2B
CITED2	NFKBIA
CITED2	FEN1
CITED2	PDS5A
CITED2	CYP1B1
EP300	EP300
EP300	CSNK2B
EP300	NFKBIA
EP300	FEN1
EP300	PDS5A
EP300	CYP1B1
APOB	APOB
APOB	MLF1
APOB	PLEC
APOB	PPP1R12A
APOB	KNL1
APOB	MYO18A
APOB	MTTP
APOB	ALMS1
ARRB2	ARRB2
ARRB2	CLIC1
ARRB2	HSPA1A
ARRB2	PSMA5
ARRB2	PPP1R12A
ARRB2	HSPA1B
ARRB2	HSPA1L
CSF1R	CSF1R
CSF1R	ERBB2
CSF1R	CBL
CSF1R	HSPA1A
CSF1R	CHN1
CSF1R	HSPA1B
CSF1R	HSPA1L
PRRC2A	PRRC2A
PRRC2A	CSNK2B
PRRC2A	HSPA1A
PRRC2A	BMI1
PRRC2A	PDS5A
PRRC2A	HSPA1L
LSM1	LSM1
LSM1	LSM2
LSM1	CLIC1
LSM1	MYC
LSM1	HSPA1A
LSM1	PSMA5
LSM1	HSPA1L
BCL3	BCL3
BCL3	RXRA
BCL3	CLIC1
BCL3	CSNK2B
BCL3	NFKBIA
BCL3	MYC
BCL3	HSPA1A
BCL3	PDS5A
ADRB1	ADRB1
ADRB1	LSM2
ADRB1	GIPC1
ADRB1	MOB4
ADRB1	TIMM13
ADRB1	CDK5RAP3
ADRB1	CRMP1
BRCA1	BRCA1
BRCA1	CLIC1
BRCA1	HSPA1A
BRCA1	VARS
BRCA1	PSMA5
BRCA1	HSPA1L
ARVCF	ARVCF
ARVCF	CLIC1
ARVCF	MYC
ARVCF	HSPA1A
ARVCF	VARS
ARVCF	PSMA5
ARVCF	HSPA1L
PCBD1	PCBD1
PCBD1	CLIC1
PCBD1	MYC
PCBD1	HSPA1A
PCBD1	VARS
PCBD1	PSMA5
PCBD1	HSPA1L
PSEN2	PSEN2
PSEN2	RAB9A
