model_selection;experiment;eta;lambda
aic;307e3cd8fbff97bc0efc36fe139f70;11.7653;0.0003644958
aic;ca9a3072cca6aac8d812b5e56cce75;11.7653;0.0003644958
aic;11d3c991ec84fa8962c3ac9d839498;16.37298;0.0004125858
aic;d995dd3759c0a8a2cbf259f3667b74;16.37298;0.0004125858
aic;680c83e5f3440549120f37793537df;10.92536;2.452898e-07
aic;7783e8a9b5c3f06de8e21f9440b2b0;10.92536;2.452898e-07
aic;c550f344479b600f93c99bf6d2f958;7.645325;0.003352946
aic;b3c88bad47b85ae2954ea03c263531;7.645325;0.003352946
aic;0414db68884f96fb82a8ba20e0535f;10.53178;0.0003496669
aic;5548ff6f10f2c3eed6d1d5de2a99ab;10.53178;0.0003496669
aic;50cb52d2151a2f95e01e097471def2;9.341986;0.0003342959
aic;067808a1a99a49bb579ea82fc56452;4.285459;2.554249
aic;6d2c084d6c344db0c4266b74c3ccbb;4.285459;2.554249
aic;6b932d426f7ff6cf10f5dc22cf6e48;19.70728;2.452898e-07
aic;cebe60ec96ab61f6a9a06772a2ab34;9.341986;0.0003342959
aic;43e1330cf2b6c732a86d3a0a561aff;19.70728;2.452898e-07
aic;7cc94b6541b0661a885eede3da6dea;8.1664;0.003465325
aic;73faa8f32b54c9925194895530ac77;8.1664;0.003465325
aic;a54d4fe45c6ed492722ec341e2cbd1;8.330304;0.0003202316
aic;a50b9af8e705d411f2b393768bce99;8.330304;0.0003202316
aic;70822364ec3aacc0969468d84fa816;5.035513;0.2866065
aic;6591ad7b5210593be1ea8c8160f72a;5.035513;0.2866065
aic;9bb9644d0470b01740f9c6ac90cc28;5.052449;2.950052
aic;eed5fdd4397730f99e57dfb79a436d;5.052449;2.950052
aic;e8015cbfe98ba608847c46534c34f3;8.717219;0.03935294
aic;e48f679a19df12418331cfceb21f7c;8.717219;0.03935294
aic;33a6c00715064f6fe55c4532a6a062;9.317178;2.452898e-07
aic;2f4c07f0a20f1a26d29f775f1ded89;3.911238;2.357982
aic;8cb3838b97a46d3bdcfe9b8e9b76f5;4.736863;2.788175
aic;3e7393704726b22857aeb3915839a2;4.736863;2.788175
aic;d7304a3d280c25e5e1f626c9773b84;3.911238;2.357982
aic;b173ac9c985e6a9ec3af03fd9bd1dc;10.96908;2.452898e-07
aic;530b0b0bc512ef69c527cf803456f4;23.55607;2.452898e-07
aic;676dcda04d37725522c21eb28d0bfd;9.317178;2.452898e-07
aic;788fbb5df69e4e471e4331393aa3db;10.96908;2.452898e-07
aic;2846b11ba856d9e21a98efc8b78d75;10.39349;2.452898e-07
aic;929ed4d28c953af91e9a90731f0c9c;10.39349;2.452898e-07
aic;025ed5e42f166e2005d6db6843bbab;23.55607;2.452898e-07
aic;533e998ed894d28499456ca59acdde;3.827922;2.313973
aic;4d49b14556d03cc12a1f4173afe62d;3.827922;22.94779
bic;307e3cd8fbff97bc0efc36fe139f70;11.7653;0.5416334
bic;ca9a3072cca6aac8d812b5e56cce75;11.7653;6.180778
bic;11d3c991ec84fa8962c3ac9d839498;16.37298;0.6939834
bic;d995dd3759c0a8a2cbf259f3667b74;16.37298;0.6939834
bic;680c83e5f3440549120f37793537df;10.92536;0.5123657
bic;7783e8a9b5c3f06de8e21f9440b2b0;10.92536;0.5123657
bic;c550f344479b600f93c99bf6d2f958;7.645325;4.238742
bic;b3c88bad47b85ae2954ea03c263531;7.645325;4.238742
bic;0414db68884f96fb82a8ba20e0535f;10.53178;0.4984592
bic;5548ff6f10f2c3eed6d1d5de2a99ab;10.53178;0.4984592
bic;50cb52d2151a2f95e01e097471def2;9.341986;5.051261
bic;067808a1a99a49bb579ea82fc56452;4.285459;25.69065
bic;6d2c084d6c344db0c4266b74c3ccbb;4.285459;2.554249
bic;6b932d426f7ff6cf10f5dc22cf6e48;19.70728;1437.954
bic;cebe60ec96ab61f6a9a06772a2ab34;9.341986;5.051261
bic;43e1330cf2b6c732a86d3a0a561aff;19.70728;0.7974863
bic;7cc94b6541b0661a885eede3da6dea;8.1664;4.490475
bic;73faa8f32b54c9925194895530ac77;8.1664;0.4118852
bic;a54d4fe45c6ed492722ec341e2cbd1;8.330304;4.569238
