Gene	vegas_p	lfdr	Pvalue
FGFR2	9.99999000001e-7	0.562920254121574	9.99999000001e-7
TOX3	2.999997000003e-6	0.5629295036112512	2.999997000003e-6
CASC16	5.999994000006e-6	0.5629433778457672	5.999994000006e-6
RNU6-342P	7.999992000008e-6	0.5629526273354444	7.999992000008e-6
ARFGEF3	7.999992000008e-6	0.5629526273354444	7.999992000008e-6
NEK10	1.5999984000016e-5	0.5629896252941535	1.5999984000016e-5
MICOS10P3	1.5999984000016e-5	0.5629896252941535	1.5999984000016e-5
SLC4A7	2.6999973000027e-5	0.5630404974873786	2.6999973000027e-5
CASC8	4.999995000005e-5	0.5631468666186674	4.999995000005e-5
RPS20P15	6.1999938000062e-5	0.5632023635567313	6.1999938000062e-5
POU5F1B	7.2999927000073e-5	0.5632532357499563	7.2999927000073e-5
MANCR	7.5999924000076e-5	0.5632671099844723	7.5999924000076e-5
VAV3-AS1	7.999992000008e-5	0.5632856089638268	7.999992000008e-5
LINC00705	8.5999914000086e-5	0.5633133574328587	8.5999914000086e-5
PCAT1	1.22999877000123e-4	0.5634844729918885	1.22999877000123e-4
RPL23AP11	1.23999876000124e-4	0.5634890977367272	1.23999876000124e-4
CCAT2	1.24999875000125e-4	0.5634937224815658	1.24999875000125e-4
GPSM2	1.41999858000142e-4	0.5635723431438228	1.41999858000142e-4
AKNAD1	1.75999824000176e-4	0.5637295844683367	1.75999824000176e-4
CASP8	1.94999805000195e-4	0.5638174546202709	1.94999805000195e-4
SPATA42	1.999998000002e-4	0.5638405783444642	1.999998000002e-4
NDUFA1	2.23999776000224e-4	0.5639515722205917	2.23999776000224e-4
RNF113A	2.40999759000241e-4	0.5640301928828486	2.40999759000241e-4
STXBP3	2.60999739000261e-4	0.5641226877796215	2.60999739000261e-4
LINC01586	3.08999691000309e-4	0.5643446755318764	3.08999691000309e-4
LSM1P2	3.22999677000323e-4	0.5644094219596175	3.22999677000323e-4
ZMIZ1	3.80999619000381e-4	0.5646776571602588	3.80999619000381e-4
BICD1P1	3.81999618000382e-4	0.5646822819050975	3.81999618000382e-4
FLACC1	3.8999961000039e-4	0.5647192798638067	3.8999961000039e-4
RNU6-790P	4.06999593000407e-4	0.5647979005260636	4.06999593000407e-4
RNU6-31P	4.2999957000043e-4	0.5649042696573524	4.2999957000043e-4
RNA5SP115	4.41999558000442e-4	0.5649597665954162	4.41999558000442e-4
LINC02785	4.4999955000045e-4	0.5649967645541253	4.4999955000045e-4
