gene	cluster
DDHD1	1
HSDL2	1
IFFO1	1
XRCC4	1
ATP5MC2	2
TAP1	2
TDP2	2
C19orf25	3
SCFD2	3
USE1	3
ATG12	4
BCL2L14	4
MAP1B	4
PRKAG2	4
TECPR1	4
TRAPPC12	4
TRAPPC2	4
TRAPPC6B	4
TRAPPC8	4
ADI1	5
ALDH5A1	5
ARFGAP2	5
ARFGAP3	5
GNPDA2	5
KDM3A	5
ANP32E	6
PAPPA	6
ADD2	7
BABAM1	7
DCAF16	7
DEF6	7
SPATA2	7
UGGT2	7
GAPVD1	8
RASAL1	8
BLOC1S1	9
IDI2	9
LMX1B	9
PBX2	9
FAM114A1	10
METTL5	10
SEC24D	10
THUMPD3	10
MRPL16	11
MRPL17	11
MRPL19	11
MRPL44	11
MRPL46	11
MRPL48	11
MRPL51	11
MRPL57	11
MRPS30	11
MTRES1	11
SLC30A9	11
FOLR1	12
IRAK3	12
B3GALT2	13
LRP5	13
ST3GAL5	13
TMEM155	13
TMEM259	13
FADS1	14
MON2	14
PAAF1	14
OPA3	15
STARD7	15
AKAP1	16
FARP1	16
TNNI3	16
FKBPL	17
FOXO3	17
HNF4A	17
HR	17
MSH5	17
MSTO1	17
NR1H3	17
PPARD	17
PROX1	17
RARA	17
RXRG	17
TMEM161A	17
C11orf49	18
RAB29	18
COLEC10	19
DDA1	19
MRPS11	19
MRPS18B	19
MRPS31	19
MRPS34	19
PTX3	19
RIOX1	19
TEX10	19
TRMT10B	19
USP42	19
ACAA2	20
CSRP1	20
ANKHD1	21
MYO3A	21
MYZAP	21
ZNF410	21
ALDH3A1	22
PIGR	22
UCP2	22
FOXI1	23
PDS5A	23
TRIM33	23
FZD6	24
KLF16	24
SMYD5	24
TMEM132A	24
CLIP1	25
CLIP4	25
MYH3	25
PEG10	25
SNUPN	25
TNNT3	25
ZNF114	25
GLYAT	26
GPRASP1	26
PPP2R5C	27
PSMG3	27
TAP2	27
AATK	28
ABHD16A	28
ATP5MC3	28
CHCHD6	28
CLIC1	28
CPT1A	28
DNAJC1	28
ERLIN1	28
FA2H	28
HACD3	28
INVS	28
NTF4	28
PAEP	28
RNF5	28
SEC22A	28
SLC25A12	28
ZFP91	28
CA14	29
XPO6	29
MSH3	30
SNX8	30
FAM151B	31
TRIM15	31
JAK2	32
UBP1	32
C18orf25	33
VSX2	33
AIP	34
TDGF1	34
AIPL1	35
ATAD2	35
BLM	35
CASP8	35
CYFIP1	35
GREB1	35
HMMR	35
LSP1	35
NCKAP1	35
SPTBN2	35
VPS33A	35
VPS45	35
WASF1	35
CIAO1	36
MMS19	36
MPPED1	36
NR2F6	36
PHKA2	36
PHKB	36
UCK1	36
DDX42	37
DNASE1L2	37
NOSIP	37
SLC25A21	37
MLLT10	38
ZNF526	38
ING4	39
MSX1	39
CSGALNACT2	40
SLC8A3	40
C7orf26	41
INTS8	41
FRAT1	42
GPRASP2	42
GSK3A	42
NOP53	43
RRP12	43
CEBPB	44
DBP	44
HLF	44
GFPT2	45
TARSL2	45
FAM124B	46
HOOK1	46
KRT19	46
TBC1D7	46
IL31RA	47
RET	47
TXNL4A	47
EGFL7	48
EGFL8	48
LIME1	48
SLC4A7	48
MKRN2	49
RBCK1	49
RDH5	49
UBE2G1	49
UHRF2	49
ACAP2	50
MBOAT7	50
ANKRD36BP1	51
FSBP	51
RAD54B	51
TCEANC	51
CLOCK	52
RCOR1	52
TFPT	52
FAHD1	53
OR10H3	53
C17orf80	54
TM2D3	54
TAF1B	55
TAF1C	55
AK9	56
PEA15	56
DAD1	57
F3	57
AP3B1	58
CCDC154	58
DDX20	58
GEMIN7	58
CYP51A1	59
HTR3E	59
NDUFA3	60
ZMYND10	60
DCP1A	61
ERF	61
MARF1	61
PATL1	61
SERPINA7	61
ARL15	62
FUNDC2	62
ACTBL2	63
BUD13	63
CTU1	63
CWC15	63
FHL5	63
PRKCB	63
PRKCD	63
ZNF131	63
ZNF446	63
ALDH6A1	64
CD6	64
CMSS1	64
GYG1	64
GYG2	64
GYS2	64
MRGBP	64
PPP1R3C	64
TXNRD2	64
HLA-DRA	65
HLA-DRB1	65
CDK19	66
MED11	66
MED30	66
MED6	66
PEX14	67
PNPLA3	67
DMTN	68
PTOV1	68
TMCC2	68
DIXDC1	69
E4F1	69
KRTAP10-4	69
ULK2	69
ZNF32	69
BST2	70
HAGH	70
HARS2	70
LACTB2	70
NUP210	70
COL4A2	71
ITLN2	71
P2RX4	72
PASK	72
RFPL2	72
WDR73	72
WNT4	72
ZNF507	72
CD58	73
FKBP14	73
FUT9	73
LIN7A	74
MINDY3	74
TRIM10	75
TRIM35	75
TRIM44	75
ZNF324	75
CNN2	76
ERP44	76
