method	num_replicates	idx	pearson
chi2	5	1-0	0.566120993522154
chi2	5	2-0	0.6863912970449582
chi2	5	2-1	0.8660210094228392
chi2	5	3-0	1
chi2	5	3-1	0.566120993522154
chi2	5	3-2	0.6863912970449582
chi2	5	4-0	0
chi2	5	4-1	0
chi2	5	4-2	0
chi2	5	4-3	0
hotnet2	5	1-0	0.4320490795460655
hotnet2	5	2-0	0.5073567487609897
hotnet2	5	2-1	0.41692947106956463
hotnet2	5	3-0	0.3669862233059198
hotnet2	5	3-1	0.3533256840827601
hotnet2	5	3-2	0.38255567035925214
hotnet2	5	4-0	0.4469047252448185
hotnet2	5	4-1	0.42741941759642926
hotnet2	5	4-2	0.4871569208672277
hotnet2	5	4-3	0.3705577552243189
consensus	5	1-0	0.44878165886275917
consensus	5	2-0	0.11342353676090901
consensus	5	2-1	0.07728279713040692
consensus	5	3-0	0.19213406981201436
consensus	5	3-1	0.15508288093735761
consensus	5	3-2	0.07175240427634119
consensus	5	4-0	0.1504345090312958
consensus	5	4-1	0.1490210038999685
consensus	5	4-2	0.44543755629445747
consensus	5	4-3	0.1039419038909035
all_snps	5	1-0	1
all_snps	5	2-0	1
all_snps	5	2-1	1
all_snps	5	3-0	1
all_snps	5	3-1	1
all_snps	5	3-2	1
all_snps	5	4-0	1
all_snps	5	4-1	1
all_snps	5	4-2	1
all_snps	5	4-3	1
scones_gm	5	1-0	0.24007537077773194
scones_gm	5	2-0	0.19211385637861964
scones_gm	5	2-1	0.015294680869935686
scones_gm	5	3-0	0.24007537077773194
scones_gm	5	3-1	1
scones_gm	5	3-2	0.015294680869935686
scones_gm	5	4-0	0.27048197617355946
scones_gm	5	4-1	0.7058599071146295
scones_gm	5	4-2	0.032715175942077575
scones_gm	5	4-3	0.7058599071146295
scones_gs	5	1-0	0.07464673658581863
scones_gs	5	2-0	0.4842161846984284
scones_gs	5	2-1	0.13035331717028653
scones_gs	5	3-0	0.39878261646100976
scones_gs	5	3-1	-0.001051480271172563
scones_gs	5	3-2	0.8751267804423831
scones_gs	5	4-0	0.32200288119169623
scones_gs	5	4-1	0.3838630148722804
scones_gs	5	4-2	0.047460893786265716
scones_gs	5	4-3	-0.002739207035932896
scones_gi	5	1-0	0.0024637911809889026
scones_gi	5	2-0	0.12714425605572618
scones_gi	5	2-1	0.05584585082970897
scones_gi	5	3-0	0.13512298487374014
scones_gi	5	3-1	0.057390831167291365
scones_gi	5	3-2	0.5138233159339415
scones_gi	5	4-0	0.037391461321214015
scones_gi	5	4-1	0.4869461890316234
scones_gi	5	4-2	0.07385221224754557
scones_gi	5	4-3	0.07842784028243083
lean	5	1-0	1
lean	5	2-0	1
lean	5	2-1	1
lean	5	3-0	1
lean	5	3-1	1
lean	5	3-2	1
lean	5	4-0	1
lean	5	4-1	1
lean	5	4-2	1
lean	5	4-3	1
dmgwas	5	1-0	0.24203782636614787
dmgwas	5	2-0	0.2779800883152919
dmgwas	5	2-1	0.28099920168801684
dmgwas	5	3-0	0.17415670722847945
dmgwas	5	3-1	0.1652513026770252
dmgwas	5	3-2	0.1577161361305025
dmgwas	5	4-0	0.17188744141771714
dmgwas	5	4-1	0.1465137182826543
dmgwas	5	4-2	0.1705921181736689
dmgwas	5	4-3	0.13784019094286942
sigmod	5	1-0	0.350043138852976
sigmod	5	2-0	0.2698949988737147
sigmod	5	2-1	0.37386622319806045
sigmod	5	3-0	0.31454271613236573
sigmod	5	3-1	0.3496131194481179
sigmod	5	3-2	0.27239678697883585
sigmod	5	4-0	0.42654919781371753
sigmod	5	4-1	0.36236439160043066
sigmod	5	4-2	0.32471431339445495
sigmod	5	4-3	0.25554083680653666
heinz	5	1-0	0.7469095788318895
heinz	5	2-0	1
heinz	5	2-1	0.7469095788318895
heinz	5	3-0	1
heinz	5	3-1	0.7469095788318895
heinz	5	3-2	1
heinz	5	4-0	1
heinz	5	4-1	0.7469095788318895
heinz	5	4-2	1
heinz	5	4-3	1
