task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	59/1539b7	23478	make_splits (2)	CACHED	0	2019-08-09 09:41:33.345	181ms	13ms	0.0%	0	0	257.1 KB	81.1 KB
5	1f/1663c2	23412	make_splits (5)	CACHED	0	2019-08-09 09:41:33.316	162ms	13ms	0.0%	0	0	257.1 KB	81.1 KB
1	d2/fdf18a	23427	make_splits (1)	CACHED	0	2019-08-09 09:41:33.330	185ms	15ms	0.0%	0	0	257.1 KB	81.1 KB
4	eb/d3cd10	23454	make_splits (4)	CACHED	0	2019-08-09 09:41:33.340	182ms	16ms	0.0%	0	0	257.1 KB	81.1 KB
3	51/f938e1	23436	make_splits (3)	CACHED	0	2019-08-09 09:41:33.335	183ms	13ms	0.0%	0	0	257.1 KB	81.1 KB
15	51/4d62ea	1876	do_nothing (samples_3.txt)	CACHED	0	2019-08-22 10:20:53.980	209ms	34ms	45.1%	2.8 MB	11.1 MB	5.3 MB	1.9 MB
6	95/03c2bd	563	vegas (1)	CACHED	0	2019-08-10 20:29:59.318	1d 7h 49m 10s	1d 7h 49m 9s	0.2%	582.3 MB	8.4 GB	317.1 MB	112.3 MB
26	ae/9008fa	10005	scones (gm, samples_2.txt)	CACHED	0	2019-08-22 11:42:52.007	1h 2m 42s	1h 2m 41s	100.2%	16.8 GB	37.2 GB	649.7 MB	261.2 MB
27	91/0a194c	32103	scones (gi, samples_2.txt)	CACHED	0	2019-08-22 14:02:19.995	2d 12h 26m 28s	2d 12h 26m 28s	100.2%	29 GB	49.8 GB	997 MB	608.8 MB
23	28/fc99c4	1994	scones (gm, samples_5.txt)	CACHED	0	2019-08-22 10:20:54.202	1h 21m 57s	1h 21m 57s	100.2%	16.8 GB	37.2 GB	649.6 MB	261.2 MB
28	99/b90922	1721	scones (gs, samples_3.txt)	CACHED	0	2019-08-28 19:16:20.141	7m 28s	7m 28s	100.8%	20.9 GB	42 GB	584.2 MB	195.9 MB
29	11/8c1ef4	6416	scones (gm, samples_3.txt)	CACHED	0	2019-08-28 18:20:30.149	55m 50s	55m 50s	100.3%	16.8 GB	37.2 GB	650.1 MB	261.7 MB
19	2a/9965eb	4887	scones (gs, samples_1.txt)	CACHED	0	2019-08-29 17:40:33.861	7m 37s	7m 36s	100.7%	20.9 GB	41.9 GB	584.1 MB	195.8 MB
11	42/846086	9806	do_nothing (samples_4.txt)	CACHED	0	2019-08-27 11:57:41.674	278ms	91ms	18.9%	3.6 MB	17 MB	5.3 MB	1.9 MB
21	4c/0ed578	19677	scones (gm, samples_4.txt)	CACHED	0	2019-08-28 19:23:48.419	46m 2s	46m 2s	100.3%	16.8 GB	37.3 GB	649.6 MB	261.2 MB
8	97/a9f1d2	31990	do_nothing (samples_1.txt)	CACHED	0	2019-08-22 14:02:19.760	224ms	41ms	36.8%	2.8 MB	11.1 MB	5.3 MB	1.9 MB
18	e6/b9c30d	35412	scones (gs, samples_4.txt)	CACHED	0	2019-08-29 17:32:49.411	7m 44s	7m 44s	100.2%	20.9 GB	41.9 GB	584.2 MB	195.9 MB
25	05/ad00b8	7110	scones (gs, samples_2.txt)	CACHED	0	2019-08-22 13:48:02.576	14m 17s	14m 17s	100.5%	20.9 GB	41.9 GB	584.3 MB	195.9 MB
24	24/efcede	10533	scones (gi, samples_5.txt)	CACHED	0	2019-08-28 20:09:50.419	21h 22m 59s	21h 22m 59s	100.1%	29 GB	49.8 GB	997 MB	608.6 MB
30	d7/135ba3	9919	scones (gi, samples_3.txt)	CACHED	0	2019-08-27 11:57:41.979	1d 6h 8m 50s	1d 6h 8m 50s	100.2%	28.8 GB	49.8 GB	997.5 MB	609.2 MB
52	70/866a27	38991	lean (samples_5.txt)	CACHED	0	2019-09-02 17:51:35.177	6m 35s	6m 34s	645.9%	1.9 GB	25.9 GB	109.4 MB	27.8 MB
10	2a/e6d0d8	32272	do_nothing (samples_5.txt)	CACHED	0	2019-08-22 10:10:26.077	243ms	47ms	33.7%	2.8 MB	11.1 MB	5.3 MB	1.9 MB
6	57/a51564	32159	do_nothing (samples_2.txt)	CACHED	0	2019-08-22 10:10:25.799	257ms	38ms	38.6%	2.8 MB	11.1 MB	5.3 MB	1.9 MB
7	f3/308657	549	vegas (2)	CACHED	0	2019-08-10 20:29:59.299	1d 8h 57m 18s	1d 8h 57m 18s	0.1%	535.8 MB	8.4 GB	318.2 MB	112.3 MB
20	04/0f0c32	1261	vegas (4)	CACHED	0	2019-08-10 20:30:00.083	1d 8h 23m 55s	1d 8h 23m 55s	0.1%	513.4 MB	8.4 GB	317.7 MB	112.3 MB
17	b2/999bb6	13102	scones (gi, samples_1.txt)	CACHED	0	2019-08-25 02:28:47.964	2d 9h 28m 54s	2d 9h 28m 53s	100.2%	28.9 GB	49.9 GB	997.4 MB	609.4 MB
27	30/e2780c	1408	vegas (5)	CACHED	0	2019-08-10 20:30:00.184	1d 8h 38s	1d 8h 38s	0.1%	500.9 MB	8.3 GB	317.2 MB	112.3 MB
43	ff/77a978	5414	heinz (samples_5.txt)	CACHED	0	2019-09-01 15:01:37.679	15.2s	15s	114.2%	807.5 MB	21 GB	59 MB	1.6 MB
22	dd/737a09	30305	scones (gs, samples_5.txt)	CACHED	0	2019-08-28 18:06:32.375	13m 58s	13m 57s	100.1%	20.9 GB	41.8 GB	584.2 MB	195.9 MB
16	81/aa1298	8720	scones (gm, samples_1.txt)	CACHED	0	2019-08-22 12:45:33.943	1h 2m 29s	1h 2m 28s	100.2%	16.8 GB	37.3 GB	649.6 MB	261.3 MB
20	2e/bfcbf2	23155	scones (gi, samples_4.txt)	CACHED	0	2019-08-29 17:48:10.445	1d 7h 39m 26s	1d 7h 39m 26s	100.2%	29 GB	49.8 GB	997.4 MB	609.3 MB
46	c0/2ca11e	14838	sigmod (samples_5.txt)	CACHED	0	2019-09-02 17:39:12.022	12m 23s	12m 23s	99.9%	940.9 MB	21.1 GB	67.1 MB	10 MB
14	94/02c25e	581	vegas (3)	CACHED	0	2019-08-10 20:29:59.327	2d 5h 8m 12s	2d 5h 8m 11s	0.1%	1.3 GB	8.4 GB	337.8 MB	113.2 MB
53	2c/d8f9f2	2441002	lasso (all_snps, samples_3.txt)	CACHED	0	2019-08-22 10:20:54.225	1h 56m 10s	1h 55m 38s	14.1%	13.5 GB	13.6 GB	154.4 MB	2.6 KB
61	41/36adcd	2442435	lasso (all_snps, samples_4.txt)	CACHED	0	2019-08-27 11:57:42.027	1h 28m 11s	1h 27m 45s	14.0%	13.5 GB	13.6 GB	154.5 MB	2.8 KB
59	66/77f1fc	2441869	lasso (scones_gi, samples_2.txt)	CACHED	0	2019-08-25 02:28:48.034	1m 8s	46.9s	36.8%	6.4 GB	8.4 GB	154.5 MB	2.8 KB
54	26/1cb3cc	2441003	lasso (scones_gm, samples_5.txt)	CACHED	0	2019-08-22 11:42:51.979	1m 7s	57.2s	31.9%	6.4 GB	8.4 GB	154.5 MB	2.8 KB
