Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
HNRNPUL1	-1.435222883617909	-1.7974414239613268	9	76	0.0596094039059609	0.6099	0.42155286724714947	0.9796286346105918
UBA1	-0.49929551833132857	-1.7456643288762095	64	65	0.964035964035964	0.9781	1.4628139941942442	1
FAM107A	-2.617143028148238	-1.4000959100383406	20	25	0.505494505494505	0.0692	-1.6052547621952784	0.8369307399156992
TSNAX	-1.2093118785199142	-1.847349720316268	78	85	0.855144855144855	0.7541	0.7423834900955419	0.99065837260677
C15orf48	-1.2993021684460457	-1.967763666118169	6	114	0.023189768102319	0.7506	0.7418800145351493	0.9902691303249043
TCL6	-0.2922560713564764	-0.6598318893187431	2	2	0.714285714285714	0.7252	0.6701268435277495	0.9890879266503729
SRSF2	-5.050795182075892	-1.8120765750325767	4	77	0.001639983600164	0.0024	-3.7787082351345926	0.5889339637464824
CDK18	-1.803527949884916	-1.6554712396874114	38	52	0.576423576423576	0.3573	-0.18142995848300034	0.9227632044128173
GSDME	-0.7520040989477491	-0.9120858029201214	5	5	0.707292707292707	0.5136	0.2550276634319423	0.9502050520111149
ZSCAN31	-0.40753777443557493	-0.6598318893187431	1	2	0.21978021978022	0.6056	0.4599569682917515	0.9784441543114945
PPARD	-1.318230049641197	-1.4475450211235332	5	29	0.0697193028069719	0.5	0.16889020841257224	0.9500995949371491
CCDC196	-0.5058044508085744	-0.9120858029201214	5	5	0.792207792207792	0.7151	0.6472506311081002	0.9884942217184751
RPS10-NUDT3	-0.6275956164340496	-0.6598318893187431	2	2	0.485514485514486	0.411	0.05876989382782643	0.9288575412983366
TSEN15	-0.9036684470030774	-0.8540508293546248	4	4	0.594405594405594	0.3725	-0.08139237926728374	0.9227632044128173
KANSL1L	-0.4308333565873813	-0.6598318893187431	1	2	0.206793206793207	0.5819	0.417486832410468	0.9740749107567142
RBM47	-0.23226193439786755	-0.7645436004508563	2	3	0.557442557442557	0.8504	0.9279379379086791	0.9994030899940309
E2F8	-1.1816566185893302	-1.018453550896148	4	7	0.244755244755245	0.3266	-0.24955931250678393	0.9151503535522895
UBA6	-0.4668520497536165	-1.6250721396114973	2	49	0.024659753402466	0.9775	1.4144380662790883	1
MED19	-2.080539388542258	-1.5428362010187868	12	37	0.155844155844156	0.2059	-0.6769815917042435	0.8862228255288949
UHRF1BP1L	-0.20086887859754643	-1.2648321785273948	2	16	0.128871128871129	0.9891	1.4452702303069291	1
IQCN	-0.9762718212389381	-1.182564572890008	12	12	0.829170829170829	0.5504	0.29574664464523487	0.9632068926606167
SNRNP40	-2.1794577424762758	-1.5428362010187868	24	37	0.432567432567433	0.1776	-0.8015222421018052	0.8862228255288949
SHTN1	-0.24898265954021828	-1.352269026482194	11	22	0.494505494505495	0.9882	1.4684631151713743	1
SHISA3	-0.33329940564567984	-0.6598318893187431	2	2	0.681318681318681	0.6809	0.5953008111528407	0.9880986128754164
TMEM120B	-2.082329071152243	-1.2006073946909588	6	13	0.152847152847153	0.1034	-1.2602554596340396	0.8482097883488453
TSSK1A	-1.0980897807370833	-0.8540508293546248	4	4	0.531468531468531	0.267	-0.40031972166907864	0.8955701894152898
