gene	cluster
CLK1	1
KCNE3	1
EVA1A	2
SNAI2	2
CASP10	3
RCOR1	3
TFPT	3
ANP32E	4
PAWR	4
FOXI1	5
PDS5A	5
VARS	5
CREBZF	6
FLACC1	6
INVS	6
TEFM	6
FRAT1	7
GABPB2	7
GTPBP3	7
LHX8	7
TSEN34	7
PPT2	8
PTBP3	8
C2CD3	9
DAZAP1	9
FAHD1	9
GPRASP1	9
IGF2BP2	9
OFD1	9
RAB6A	9
SNX3	9
MRPL19	10
MRPL34	10
MRPL44	10
MRPL46	10
MRPL48	10
MRPS30	10
ANO6	11
EGFL8	11
ENPP4	11
SLC4A7	11
TMEM109	11
MADD	12
WNK1	12
BLM	13
CASP8	13
FGFR2	13
VPS45	13
DET1	14
FKBPL	14
MSH5	14
NR1H3	14
AEN	15
BZW1	15
KHDRBS2	15
PRPF19	15
PRPF31	15
PRR3	15
LENG1	16
USHBP1	16
MED30	17
MED6	17
SMYD5	18
TMEM132A	18
CCT7	19
CRMP1	19
DDA1	19
DDB2	19
HSPA1A	19
HSPA1B	19
HSPA1L	19
KRT14	19
KRT16	19
KRT17	19
KRT9	19
LSM2	19
MRPS11	19
MRPS18B	19
MRPS31	19
ABCA3	20
ABHD16A	20
DNAJC1	20
FRAT2	21
PRUNE1	21
ERP44	22
MAT2B	22
ATF6B	23
CHRNA9	23
