Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
HNRNPUL1	-1.4699596542173667	-1.869141969018553	23	81	0.194805194805195	0.6329	0.4575545599789721	0.9451679446082741
CEP70	-2.8238959744385475	-2.1010192429107044	5	131	0.00626993730062699	0.2043	-0.7914256908174582	0.8713629745672883
ATRIP	-0.522108149245675	-1.3156453279309803	10	18	0.466533466533467	0.8977	1.0880685375440196	0.9855462988125183
NFKB1	-4.5233062801458095	-2.5241470797008283	91	254	0.243756243756244	0.0435	-1.9443732629321624	0.8399995821313391
ATP1A3	-3.1257082644585346	-1.4740458726024837	29	29	0.78021978021978	0.0375	-2.120774980989441	0.8374334980295074
WDR47	-1.5160768593972207	-1.1402321907381439	1	10	0.003089969100309	0.2414	-0.5504016805183929	0.8787056905718634
MTAP	-1.8441346338502298	-1.6232640415182793	2	44	0.004119958800412	0.331	-0.27321469784953273	0.9014826385521177
TSNAX	-1.6259932011169207	-1.935874238981701	3	93	0.00655993440065599	0.586	0.35142696428946485	0.94335844262571
PBXIP1	-3.1439650529127654	-1.4545809849621736	3	27	0.00650993490065099	0.0371	-2.191162947245958	0.8374334980295074
VCP	-1.870889760222732	-2.243154886813674	113	168	0.586413586413586	0.604	0.39522655061469864	0.9449129091554608
ABL2	-2.826533963089343	-1.4545809849621736	16	27	0.2997002997003	0.0599	-1.7794488465152953	0.8399995821313391
C15orf48	-2.4052360573420764	-2.0154029979849346	49	113	0.310689310689311	0.2891	-0.4381935381966671	0.8918073157190807
MEOX2	-1.947541040546934	-2.3079426581754907	121	184	0.572427572427572	0.5991	0.3699028827482678	0.9449129091554608
RPS9	-1.431371379824221	-2.0301638817352012	3	116	0.00626993730062699	0.7196	0.6621715347796246	0.953223340904984
PSME3	-3.5466498125737176	-2.061210821559948	21	121	0.0755192448075519	0.071	-1.634078893065206	0.8399995821313391
ZSCAN26	-0.5751885225176596	-1.611870715759285	8	43	0.142857142857143	0.9469	1.2803657083525626	0.990493272724509
KRT31	-4.352828092264424	-2.316742944472128	130	185	0.559440559440559	0.0328	-2.094562057314223	0.8374334980295074
SRSF2	-2.6823830468382908	-1.8651811906479703	1	80	2.5999974000026e-5	0.165	-0.9358727160260447	0.8508504891807739
RGS2	-1.7103085659292376	-1.6084949615038089	22	42	0.356643356643357	0.3721	-0.12404774675562048	0.9078788361208331
CAND1	-2.567408779218948	-3.354891459786008	182	577	0.262737262737263	0.7234	0.646013210272112	0.9540714471904227
CDK18	-1.9103983712582386	-1.6830643408691743	51	52	0.883116883116883	0.3204	-0.27852842890801593	0.8971966693412238
GSDME	-0.5420808574629524	-0.9200968300604296	2	5	0.211788211788212	0.6939	0.6164069921700568	0.9497355349210841
ITGA4	-5.383329382933401	-2.988217058420883	196	433	0.347652347652348	0.0317	-2.1480978469409515	0.8374334980295074
PPARD	-3.5594732418292616	-1.5485576705894712	34	35	0.734265734265734	0.023	-2.5292546582955344	0.8310006988128003
MARK2	-0.8573198051981192	-1.743006527186495	45	60	0.676323676323676	0.8849	1.0540512578745729	0.9825191341467213
RXRG	-2.6542960062550085	-1.6416600241205397	22	48	0.258741258741259	0.1118	-1.2544475596430602	0.8467055553550222
NARS	-1.195509046870075	-1.6416600241205397	32	48	0.547452547452547	0.6666	0.5526892333654921	0.9454347266881803
EEF2	-1.4159204918705872	-2.0301638817352012	44	116	0.298701298701299	0.7274	0.679257817853167	0.954595368112583
CCDC196	-1.0714883179634282	-0.9200968300604296	2	5	0.102288977110229	0.3193	-0.24686462600300108	0.8971966693412238
POLR1C	-2.147164734623506	-1.9296298602711037	25	90	0.16983016983017	0.3389	-0.24410844981290913	0.9041762490417625
TSEN15	-1.3614919283932292	-1.0723743276648654	7	8	0.517482517482518	0.2721	-0.4273308613685375	0.8893921665403837
MRE11	-1.9911454099751222	-1.6794568350997874	34	50	0.507492507492508	0.2952	-0.3788850619063609	0.8918073157190807
TRAF3IP1	-1.4173823462644104	-1.6465264758926472	40	46	0.75024975024975	0.5441	0.27956726209673344	0.939457441097643
C1orf94	-1.5247572832644078	-1.743006527186495	20	60	0.220779220779221	0.5427	0.25973731385494303	0.9384568322601221
EWSR1	-3.537015937457797	-2.312875160934434	70	191	0.251748251748252	0.1164	-1.2470917242138337	0.8467055553550222
LMO1	-1.5213543802982632	-1.4677363546004678	8	28	0.136863136863137	0.3988	-0.0694363372937146	0.9124899232989668
E2F8	-0.465771382233167	-0.9851919470093594	3	6	0.344655344655345	0.7798	0.7946727811232422	0.9629518331589302
CDC27	-2.4782215433232335	-1.6084949615038089	39	42	0.752247752247752	0.1327	-1.0596582193216375	0.8467055553550222
CEP162	-3.010683907444068	-2.0746595460667305	3	122	0.001559984400156	0.146	-1.0299625428645838	0.8478983396472669
CDK4	-1.1222759008806587	-1.9071713308741096	16	89	0.122877122877123	0.8159	0.8858028208331178	0.9685094772347635
HMBOX1	-1.1164539537043798	-1.6794568350997874	1	50	0.001589984100159	0.7241	0.6843798546554902	0.954242206227505
RPL10A	-3.9694141874504334	-2.0916821017410867	72	125	0.407592407592408	0.0339	-2.0542533626769717	0.8374334980295074
DVL2	-1.2479572862363206	-1.9948532971279453	2	107	0.003569964300357	0.7902	0.8296067875306917	0.9643780742259297
MSX1	-1.3281712394523604	-0.9200968300604296	5	5	0.542457542457542	0.2084	-0.6654214041444743	0.8713629745672883
C19orf57	-0.3701310574339788	-1.415002559283211	4	24	0.137862137862138	0.9701	1.3943454268136892	0.9931818771707315
UHRF1BP1L	-0.4556932094659528	-1.291617415961887	13	16	0.734265734265734	0.9216	1.1537008042746497	0.9880601035641118
GSK3B	-1.9595840504077144	-2.1202269036407912	78	134	0.47952047952048	0.5055	0.17291744173563559	0.931088631507748
IQCN	-1.3631324987635234	-1.2402066463858694	13	14	0.694305694305694	0.3604	-0.17264149483847177	0.906703078486286
PHF21A	-0.9473987958277	-1.6711820804958755	2	51	0.011269887301127	0.8198	0.8870921768182111	0.9690947204838989
PLSCR1	-1.2661016034897357	-2.0149324734872147	100	114	0.816183816183816	0.7907	0.8251113697204583	0.9647144366142877
SHTN1	-0.9902465586899232	-1.4121493644759058	19	23	0.683316683316683	0.6765	0.5553973475060502	0.946499334212523
MYO5C	-1.052000427406684	-1.838444230194566	77	77	0.969030969030969	0.8265	0.9186923607352615	0.9707772611394706
ATXN3	-0.8192715075013577	-1.5614299700280254	29	37	0.692307692307692	0.8385	0.9343107211550661	0.9741158376275938
NCK1	-1.7273723661618041	-2.2927642893173195	67	181	0.295704295704296	0.6857	0.5839556200941295	0.9486974502549744
PSMC3	-1.3136492084857805	-2.0692439843480304	42	124	0.267732267732268	0.7826	0.8220182019760306	0.9629518331589302
CUL4B	-2.542071127011867	-2.507226738074418	34	247	0.0835691643083569	0.4407	-0.03440364234376993	0.916545496860429
XRCC3	-3.620588709924753	-2.0803005672604256	67	126	0.374625374625375	0.0683	-1.6609420148703122	0.8399995821313391
CYB5A	-0.9360590709559075	-1.0723743276648654	6	8	0.476523476523477	0.5019	0.20148104411616868	0.930232156640451
TSSK1A	-0.5365869535804957	-0.8690208007529571	4	4	0.734265734265734	0.6535	0.5370350356255111	0.9451679446082741
TGFBR1	-2.143320474563153	-2.1408971602018587	5	141	0.00843991560084399	0.4359	-0.002590969266503102	0.915292735264672
TGFBR2	-1.210912581801516	-1.6232640415182793	26	44	0.463536463536464	0.6492	0.5100746019868942	0.9451679446082741
ZWINT	-1.6033193335980254	-1.7382692301117326	58	59	0.909090909090909	0.4956	0.16331033690645086	0.9287136459470142
ARHGAP10	-0.6720311424391988	-0.9200968300604296	4	5	0.519480519480519	0.5889	0.4045051940967117	0.9439902096638664
KRTAP23-1	-0.5295108626251088	-0.8690208007529571	4	4	0.737262737262737	0.6585	0.5484662084457207	0.9451679446082741
PCMT1	-1.3059762350047777	-1.8406216621707734	58	75	0.679320679320679	0.7066	0.6215892307295713	0.9513373184675054
RPS15	-1.7738957552282701	-1.9987089431211402	59	104	0.458541458541459	0.5348	0.24844453268736844	0.9373823809617952
SLC22A23	-0.25122116554410745	-0.9851919470093594	6	6	0.908091908091908	0.9248	1.1229178082725868	0.9888361985651012
CCDC116	-1.1755877054381159	-1.1699141492671985	1	11	0.00625993740062599	0.4162	-0.008108003401333401	0.9145313214731601
CRMP1	-2.0540552177316727	-1.9154831012936753	76	88	0.754245754245754	0.3701	-0.1587881981852013	0.9073860674769025
BICDL2	-1.2314212549973476	-0.6700283970623467	1	2	0.029789702102979	0.1328	-1.0217291692482386	0.8467055553550222
ODAM	-0.35522486435242845	-0.6700283970623467	2	2	0.664335664335664	0.6642	0.5729391591037236	0.9451679446082741
ILVBL	-1.153109377859155	-1.5386455099965684	2	34	0.012809871901281	0.6463	0.49410932528756496	0.9451679446082741
STAMBPL1	-1.2140971861381085	-1.4545809849621736	11	27	0.255744255744256	0.5624	0.31191201538645835	0.9406175438867034
PIK3R1	-2.2795638589111045	-2.1202269036407912	57	134	0.316683316683317	0.3755	-0.1715117611818843	0.9078788361208331
JUN	-2.021287418313361	-1.9154831012936753	72	88	0.702297702297702	0.3838	-0.12123995282477265	0.9083478938529076
SYCE3	-2.695474415476532	-0.8690208007529571	3	4	0.0812691873081269	0.0153	-2.95057073879291	0.7951629079516291
GAPDH	-2.044942800023185	-2.0855681864380506	29	130	0.142857142857143	0.4543	0.044308709483055035	0.9174568436573269
MT1DP	-0.5829033721471908	-0.8690208007529571	3	4	0.464535464535465	0.6145	0.4622125116660083	0.9449129091554608
PABPC1	-1.2985187743201083	-2.1010192429107044	31	131	0.176823176823177	0.8101	0.8785999881242318	0.9676650808442293
FADD	-0.5636594473104704	-1.2687560204343018	11	15	0.622377622377622	0.8594	0.9820638603024483	0.9794338623290639
DZANK1	-0.30081188008063003	-0.9200968300604296	4	5	0.68631368631368606	0.8815	1.0098292161842368	0.9824046068214577
DHX8	-1.210590555188216	-1.6274323564768498	37	45	0.709290709290709	0.6565	0.5168216295910821	0.9451679446082741
IFRD1	-0.494967461715632	-0.9200968300604296	1	5	0.0742092579074209	0.7299	0.6932318584950761	0.9552059380771809
GEM	-1.0555914688790837	-1.607374348486435	35	41	0.752247752247752	0.728	0.6777599622695502	0.954595368112583
SSC5D	-1.6854060843821415	-1.0723743276648654	2	8	0.028759712402876	0.1548	-0.9060928424429924	0.8478983396472669
NME2	-1.002697827661112	-1.7974196883085747	12	68	0.117882117882118	0.835	0.9259808852213357	0.9732678300744196
SNCG	-1.5806727709364348	-1.33203247921665	10	19	0.290709290709291	0.3053	-0.33850060943511096	0.8929747061607956
DNAAF2	-1.4817112345550265	-1.7974196883085747	7	68	0.044979550204498	0.594	0.3678519592255827	0.9449129091554608
COPA	-3.1444691329352317	-1.611870715759285	28	43	0.398601398601399	0.0499	-1.8928524776639388	0.8399995821313391
FSD2	-1.348433121184753	-1.611870715759285	12	43	0.166833166833167	0.5684	0.3253614893580992	0.9407490296512363
PSMB4	-2.593342041294269	-1.807867648094849	18	71	0.125874125874126	0.165	-0.9214454078716497	0.8508504891807739
ITPA	-1.6662736640438796	-1.5886599232358962	11	40	0.142857142857143	0.3919	-0.09737191570881396	0.9099594726900779
CCHCR1	-1.2555648855265813	-1.9563658976186231	31	97	0.243756243756244	0.7731	0.7873088872538141	0.9615277508393738
TAP1	-1.1444644574157883	-1.3796486732357736	22	22	0.887112887112887	0.5575	0.30857398082169357	0.9396977078005364
ALDH3A2	-1.8306356939369495	-1.652298861873769	16	47	0.196803196803197	0.3459	-0.21558181660977796	0.906703078486286
SGTB	-1.908862078238477	-1.9011511733996835	9	84	0.044439555604444	0.4251	-0.008704594484945117	0.9150663880980323
FOS	-1.5599387851356379	-1.7974196883085747	14	68	0.118881118881119	0.5514	0.27670407450989554	0.9396564930662897
RIF1	-2.0279219725844753	-2.1060568956554513	12	133	0.041339586604134	0.4715	0.08408914630549	0.9241632136238598
COQ9	-2.5894925834806553	-2.272732117723218	79	173	0.350649350649351	0.3307	-0.32932762004686256	0.9010740211934813
CUL5	-3.481557933852338	-2.735717767529629	1	330	9.99999000001e-7	0.225	-0.6916012822436477	0.8759546878293144
TPM1	-1.423586059444307	-1.8778268068785413	8	87	0.043959560404396	0.6562	0.5265510229171564	0.9451679446082741
BAG3	-3.726417785371315	-1.8071681694813038	17	72	0.0903590964090359	0.0315	-2.2346425550308786	0.8374334980295074
RPS13	-1.8028666367310664	-2.1010192429107044	96	131	0.64035964035964	0.5705	0.3264258234125452	0.9415237848412468
IFT20	-2.440863753437769	-1.6830643408691743	3	52	0.00587994120058799	0.1581	-0.9284517564260862	0.848149122484786
UBQLN1	-2.651656338300336	-2.2123091131763863	68	157	0.321678321678322	0.2837	-0.4627990643963692	0.8918073157190807
VCL	-0.9654225502089779	-1.8980970403280506	24	82	0.228771228771229	0.8835	1.0697834069633916	0.9824046068214577
ZNF417	-2.543443327575161	-1.7819091315133557	18	65	0.13986013986014	0.1734	-0.9018870975097574	0.8529364944797782
DENND1A	-2.6007407449085322	-1.807867648094849	21	71	0.157842157842158	0.163	-0.9301248779200582	0.8508504891807739
HLA-A	-0.8580802993511312	-1.4740458726024837	19	29	0.537462537462537	0.7751	0.7909148887469122	0.9618090214099977
STIP1	-1.5088854851002031	-2.1409292586013176	75	138	0.460539460539461	0.7259	0.6794680812584384	0.954595368112583
PLAUR	-0.4131084986787105	-1.8980970403280506	37	82	0.42957042957043	0.9937	1.703291039068104	0.9988967543579677
PPP2CB	-1.070552932154779	-1.955151406814824	22	98	0.166833166833167	0.8555	0.9922608889999187	0.9786860376046062
CCT7	-2.95349889189393	-2.0053414803229015	98	108	0.792207792207792	0.1468	-1.0572549187744391	0.8478983396472669
TNFRSF1B	-1.2000198889909228	-1.9254862967359092	87	91	0.906093906093906	0.7932	0.8223920697835063	0.9654471491915523
CBX8	-1.194797876783178	-1.733184966857384	12	58	0.128871128871129	0.7108	0.6381570875835504	0.9520614291000197
EIF4A3	-1.4702905050917345	-1.8143921694300973	35	70	0.385614385614386	0.6033	0.39677037194906833	0.9449129091554608
HMGCR	-1.0934948408839391	-1.291617415961887	5	16	0.150849150849151	0.541	0.2734388745249296	0.9384568322601221
LPL	-1.1894729951419547	-1.1402321907381439	5	10	0.237762237762238	0.3941	-0.07211016612429055	0.9104115485933101
NUDT21	-1.9221146254067623	-1.9011511733996835	21	84	0.150849150849151	0.4209	-0.023664972210288567	0.9145313214731601
DLD	-1.6607039673137494	-1.7974196883085747	6	68	0.032049679503205	0.4954	0.15929616463214336	0.9286091181335884
ZNF320	-0.9576245096863902	-0.7697753194951323	1	3	0.038189618103819	0.2908	-0.32224036742268847	0.8918073157190807
RUSC1-AS1	-0.6909563480766518	-0.7697753194951323	3	3	0.588411588411588	0.4494	0.13520768593098537	0.916545496860429
ASNS	-2.4114007343685295	-1.838452212685735	20	74	0.145854145854146	0.2262	-0.65976115657299494	0.8763552087635521
TCF4	-2.0025129357823213	-2.2864183059474024	41	178	0.160839160839161	0.5623	0.293764350804727	0.9406175438867034
DARS	-1.8450254490510984	-1.7210172725492665	2	57	0.003169968300317	0.3759	-0.1508036291044089	0.9078788361208331
KLHL15	-1.483088631051917	-1.4121493644759058	6	23	0.108888911110889	0.3853	-0.09338520614230578	0.9090578121675011
TARSL2	-1.5423875963736784	-1.33203247921665	18	19	0.746253746253746	0.3235	-0.28637890851453796	0.8971966693412238
SLC3A2	-1.3707487320348992	-1.415002559283211	18	24	0.557442557442557	0.4544	0.059055225004682084	0.9174568436573269
C9orf106	-0.4420336428823597	-0.7697753194951323	3	3	0.712287712287712	0.6631	0.5622148180883813	0.9451679446082741
DSTN	-2.2950500289423985	-1.8449102099703694	9	76	0.04269957300427	0.2551	-0.5213257896919227	0.8809935606171645
TMEM218	-0.2798173329786687	-0.8690208007529571	1	4	0.16983016983017	0.8694	0.9518372091115153	0.9820144968239132
CEP135	-1.2355075403322595	-2.1847764922275865	45	152	0.237762237762238	0.8564	1.0128182333025602	0.9790746899220808
RGS1	-0.8620950662767101	-0.9200968300604296	5	5	0.672327672327672	0.4491	0.09457984674248476	0.916545496860429
SMCO3	-0.7052329742510797	-0.8690208007529571	4	4	0.666333666333666	0.5146	0.26459339802071546	0.932896163343868
HYKK	-0.7237858158575304	-0.9200968300604296	2	5	0.162837162837163	0.54990000000000006	0.3201120867014654	0.9396564930662897
GMCL1	-2.181050366526422	-2.1181331630639053	105	132	0.695304695304695	0.4133	-0.06778382691530595	0.9145313214731601
ESR1	-4.303181003887967	-2.551470463587143	114	268	0.310689310689311	0.0608	-1.7150337426205746	0.8399995821313391
MYBPHL	-0.9182469881133912	-1.0295455906082835	1	7	0.018209817901821	0.4836	0.16899877273975714	0.9277119616509848
RRS1	-1.1793521557941258	-1.7737924021184293	7	66	0.0542494575054249	0.7483	0.7027333671811158	0.9560075124750066
HSP90AB1	-4.795756489648418	-3.3048768795118115	219	563	0.305694305694306	0.1182	-1.2585327326677067	0.8467055553550222
DCDC2B	-1.3774923950230487	-0.9851919470093594	6	6	0.589410589410589	0.2221	-0.6001889590052314	0.8748912342808273
NCAPH	-1.8363755465803622	-1.4740458726024837	5	29	0.0508994910050899	0.2681	-0.46524017936791323	0.8870237783617633
CDKN1A	-2.2789895966831573	-2.312875160934434	190	191	0.962037962037962	0.4612	0.03452087174818213	0.9211912038802319
DBN1	-1.5160583810139894	-2.316742944472128	96	185	0.447552447552448	0.7865	0.8236804380774851	0.9635465771799091
ZNF24	-1.317884189987084	-1.6416600241205397	43	48	0.792207792207792	0.5954	0.40109161847477737	0.9449129091554608
DNAAF5	-2.009938914189706	-1.6232640415182793	23	44	0.340659340659341	0.2623	-0.4783129224562146	0.8843808590136545
ORC5	-1.4529061966416026	-1.7210172725492665	55	57	0.886113886113886	0.5665	0.32604401089121793	0.9406713427228889
CDC7	-2.7177548657377244	-1.33203247921665	17	19	0.558441558441558	0.0492	-1.8865320222270938	0.8399995821313391
ATP2B3	-1.101173786576866	-1.4121493644759058	10	23	0.278721278721279	0.6053	0.4093715631554733	0.9449129091554608
NECAB2	-1.2151922792489789	-1.7574086973184533	1	61	0.001029989700103	0.7134	0.6384153786587277	0.9520614291000197
MCM3	-1.8705755449541546	-1.8283923394302872	33	73	0.321678321678322	0.4062	-0.04863972295939144	0.9137121534749333
CEBPZ	-1.1368938289022519	-1.49212371294731	4	30	0.0532094679053209	0.6252	0.45710118774181546	0.9451679446082741
PRKAR1A	-2.2221103196380065	-1.6863155347214065	28	53	0.350649350649351	0.2226	-0.6473528055446861	0.8748912342808273
STK4	-1.533334818244067	-1.6465264758926472	6	46	0.0512694873051269	0.4868	0.1380994654863935	0.9277167521343104
ORC2	-1.5945092720916159	-1.611870715759285	10	43	0.117882117882118	0.4397	0.02144244134267423	0.9162176632547033
SMYD3	-2.079247422552447	-1.33203247921665	12	19	0.337662337662338	0.1409	-1.0172635816532982	0.8467055553550222
