Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.1-pvalue	Best-SNP	SNP-pvalue
1	PLEKHN1	1	1e+05	966496	975865	3.32148590225365	0.0670793292067079	0.0670793292067079	rs9442372	0.0683799999999998
1	PERM1	1	1e+05	975203	982093	3.32148590225365	0.0663193368066319	0.0663193368066319	rs9442372	0.0683799999999998
1	HES4	1	1e+05	998961	1000172	3.32148590225365	0.0687593124068759	0.0687593124068759	rs9442372	0.0683799999999998
1	ISG15	2	1000	1001137	1014541	3.4534541090944	0.167832167832168	0.114885114885115	rs9442372	0.0683799999999998
1	AGRN	4	1000	1020122	1056118	4.84492749936797	0.26973026973027	0.214785214785215	rs9442372	0.0683799999999998
1	RNF223	6	1000	1070965	1074307	2.7606533896651	0.794205794205794	0.866133866133866	rs4970362	0.309899999999999
1	C1orf159	10	1000	1081817	1116361	7.83493747868025	0.613386613386613	0.463536463536464	rs3766186	0.0317099999999999
1	LINC01342	9	1000	1137016	1144056	7.70296927183951	0.512487512487512	0.250749250749251	rs3766186	0.0317099999999999
1	MIR200B	6	1000	1167103	1167198	6.35323608454327	0.380619380619381	0.175824175824176	rs3766186	0.0317099999999999
1	MIR200A	6	1000	1167862	1167952	6.35323608454327	0.361638361638362	0.157842157842158	rs3766186	0.0317099999999999
1	MIR429	6	1000	1169004	1169087	6.35323608454327	0.347652347652348	0.143856143856144	rs3766186	0.0317099999999999
1	TTLL10-AS1	5	1000	1173055	1179555	5.44355857725898	0.362637362637363	0.154845154845155	rs3766186	0.0317099999999999
1	TTLL10	5	1000	1173055	1179555	5.44355857725898	0.340659340659341	0.148851148851149	rs3766186	0.0317099999999999
1	TNFRSF18	4	1000	1203507	1206691	5.10529910101287	0.277722277722278	0.122877122877123	rs3766186	0.0317099999999999
1	TNFRSF4	3	1e+05	1211325	1214138	5.08847577085296	0.164548354516455	0.0912990870091299	rs3766186	0.0317099999999999
1	SDF4	2	1000	1216907	1232031	0.474368670425786	0.81018981018981	0.816183816183816	rs6685064	0.5434
1	B3GALT6	2	1000	1232264	1235041	0.474368670425786	0.772227772227772	0.775224775224775	rs6685064	0.5434
1	C1QTNF12	2	1000	1242445	1246722	0.474368670425786	0.781218781218781	0.778221778221778	rs6685064	0.5434
1	UBE2J2	2	1000	1253908	1273885	0.474368670425786	0.76023976023976	0.759240759240759	rs6685064	0.5434
1	LINC01786	1	1000	1275222	1280420	0.10509418218196	0.766233766233766	0.766233766233766	rs10399878	0.7458
1	SCNN1D	1	1000	1280435	1292029	0.10509418218196	0.75024975024975	0.75024975024975	rs10399878	0.7458
1	DVL1	1	1000	1335275	1349350	0.478946272340914	0.498501498501498	0.498501498501498	rs1781145	0.4889
1	MIR6808	1	1000	1339649	1339708	0.478946272340914	0.475524475524476	0.475524475524476	rs1781145	0.4889
1	MXRA8	1	1000	1352688	1361777	0.478946272340914	0.48951048951049	0.48951048951049	rs1781145	0.4889
1	AURKAIP1	1	1000	1373729	1375495	0.478946272340914	0.472527472527473	0.472527472527473	rs1781145	0.4889
1	NDUFB4P8	1	1000	1378665	1379032	0.478946272340914	0.470529470529471	0.470529470529471	rs1781145	0.4889
1	CCNL2	1	1000	1385710	1399328	0.478946272340914	0.493506493506494	0.493506493506494	rs1781145	0.4889
1	MRPL20-AS1	1	1000	1399521	1402046	0.478946272340914	0.4995004995005	0.4995004995005	rs1781145	0.4889
1	MRPL20	1	1000	1399521	1402046	0.478946272340914	0.495504495504495	0.495504495504495	rs1781145	0.4889
1	RN7SL657P	1	1000	1405459	1405752	0.478946272340914	0.493506493506494	0.493506493506494	rs1781145	0.4889
1	ANKRD65	1	1000	1418419	1421769	0.478946272340914	0.461538461538462	0.461538461538462	rs1781145	0.4889
1	TMEM88B	1	1000	1426127	1427787	0.478946272340914	0.500499500499501	0.500499500499501	rs1781145	0.4889
1	LINC01770	1	1000	1430538	1434573	0.478946272340914	0.492507492507492	0.492507492507492	rs1781145	0.4889
1	VWA1	1	1000	1434860	1442882	0.478946272340914	0.484515484515485	0.484515484515485	rs1781145	0.4889
1	SLC35E2A	1	1000	1724837	1745999	1.34473878320114	0.238761238761239	0.238761238761239	rs11260622	0.246199999999999
1	NADK	1	1000	1751231	1780457	1.34473878320114	0.282717282717283	0.282717282717283	rs11260622	0.246199999999999
1	GNB1	1	1000	1785284	1891117	1.34473878320114	0.23976023976024	0.23976023976024	rs11260622	0.246199999999999
1	CFAP74	39	1000	1921950	2003837	32.7872141285964	0.585414585414585	0.470529470529471	rs2459986	0.0352400000000001
1	GABRD	45	1000	2019297	2030758	38.2525290620744	0.552447552447552	0.519480519480519	rs2459986	0.0352400000000001
1	PRKCZ	47	1000	2050469	2185395	49.8890212164822	0.330669330669331	0.426573426573427	rs2459986	0.0352400000000001
1	PRKCZ-AS1	4	1000	2181793	2184389	3.33908673272029	0.477522477522478	0.496503496503497	rs6665593	0.1699
1	FAAP20	6	1000	2184460	2212720	8.92483452854393	0.203796203796204	0.325674325674326	rs2173049	0.0718199999999997
1	SKI	14	1000	2228694	2310119	13.4730045530074	0.447552447552448	0.4995004995005	rs2173049	0.0718199999999997
1	MORN1	12	1000	2321252	2391707	6.9774069601185	0.735264735264735	0.695304695304695	rs2840528	0.129600000000001
1	RER1	4	1000	2391774	2405444	0.644107624642807	0.892107892107892	0.864135864135864	rs4531246	0.5025
1	PEX10	4	1000	2403963	2413797	0.644107624642807	0.908091908091908	0.859140859140859	rs4531246	0.5025
1	PLCH2	6	1000	2425979	2505530	4.67319459983186	0.457542457542458	0.53046953046953	rs4310388	0.1959
1	PANK4	3	1000	2508532	2526628	4.47873952310459	0.195804195804196	0.382617382617383	rs4310388	0.1959
1	HES5	3	1000	2528744	2530245	4.47873952310459	0.191808191808192	0.373626373626374	rs4310388	0.1959
1	TNFRSF14-AS1	3	1000	2549919	2557031	4.47873952310459	0.222777222777223	0.401598401598402	rs4310388	0.1959
1	TNFRSF14	3	1000	2549919	2557031	4.47873952310459	0.221778221778222	0.376623376623377	rs4310388	0.1959
1	PRXL2B	1	1000	2586490	2591469	1.5287509613326	0.220779220779221	0.220779220779221	rs11590198	0.2163
1	MMEL1	1	1000	2590638	2632990	1.5287509613326	0.207792207792208	0.207792207792208	rs11590198	0.2163
1	TTC34	10	1000	2635975	2801717	7.10941115698053	0.502497502497502	0.428571428571429	rs2168531	0.0941099999999998
1	ACTRT2	11	1000	3021482	3022903	3.47142716722389	0.907092907092907	0.768231768231768	rs6698974	0.2077
1	PRDM16-DT	13	1000	3059614	3068437	7.28200527026435	0.754245754245754	0.557442557442557	rs4233024	0.0682200000000005
