Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.2-pvalue	Best-SNP	SNP-pvalue
1	AGRN	1	100000	905502	1041498	3.2771692022834	0.0702392976070239	0.0702392976070239	rs9442372	0.0702499999999996
1	RNF223	1	100000	956345	1059687	3.2771692022834	0.0700892991070089	0.0700892991070089	rs9442372	0.0702499999999996
1	C1orf159	4	1000	967197	1101741	6.30143648713148	0.178821178821179	0.231768231768232	rs9442372	0.0702499999999996
1	LINC01342	6	1000	1022396	1129436	3.19802106350103	0.747252747252747	0.647352647352647	rs4970362	0.203
1	MIR200B	8	1000	1052483	1152578	3.52629916594837	0.854145854145854	0.757242757242757	rs4970362	0.203
1	MIR200A	8	1000	1053242	1153332	3.52629916594837	0.873126873126873	0.788211788211788	rs4970362	0.203
1	MIR429	8	1000	1054384	1154467	3.52629916594837	0.871128871128871	0.78021978021978	rs4970362	0.203
1	TTLL10-AS1	10	1000	1058435	1164935	6.84914629379387	0.704295704295704	0.58041958041958	rs3766186	0.0757900000000001
1	TTLL10	10	1000	1059263	1183315	6.84914629379387	0.694305694305694	0.582417582417582	rs3766186	0.0757900000000001
1	TNFRSF18	9	1000	1088887	1192071	6.67969508841315	0.622377622377622	0.495504495504495	rs3766186	0.0757900000000001
1	TNFRSF4	8	1000	1096705	1199518	5.05903663434102	0.733266733266733	0.56043956043956	rs3766186	0.0757900000000001
1	SDF4	8	1000	1102287	1217411	3.82747048400705	0.825174825174825	0.666333666333666	rs3766186	0.0757900000000001
1	B3GALT6	6	1000	1117644	1220421	3.78049127547039	0.668331668331668	0.548451548451548	rs3766186	0.0757900000000001
1	C1QTNF12	5	1000	1127825	1232102	3.6537167053541	0.563436563436563	0.476523476523477	rs3766186	0.0757900000000001
1	UBE2J2	4	1000	1139288	1259265	3.56008471879265	0.472527472527473	0.265734265734266	rs3766186	0.0757900000000001
1	LINC01786	3	1000	1160602	1265800	3.39018393578167	0.32967032967033	0.226773226773227	rs3766186	0.0757900000000001
1	SCNN1D	2	1000	1165815	1277409	0.23723759094715	0.877122877122877	0.853146853146853	rs10399878	0.6281
1	ACAP3	2	1000	1177755	1294989	0.23723759094715	0.879120879120879	0.845154845154845	rs10399878	0.6281
1	PUSL1	2	1000	1193946	1297057	0.23723759094715	0.896103896103896	0.867132867132867	rs10399878	0.6281
1	INTS11	2	1000	1196964	1310071	0.23723759094715	0.884115884115884	0.852147852147852	rs10399878	0.6281
1	CPTP	2	1000	1210135	1314277	0.23723759094715	0.894105894105894	0.866133866133866	rs10399878	0.6281
1	TAS1R3	1	1000	1216693	1320686	0.234646115885892	0.646353646353646	0.646353646353646	rs10399878	0.6281
1	DVL1	1	1000	1220655	1334730	0.234646115885892	0.617382617382617	0.617382617382617	rs10399878	0.6281
1	MXRA8	1	1000	1238068	1347157	0.234646115885892	0.621378621378621	0.621378621378621	rs10399878	0.6281
1	MRPL20	1	1000	1287287	1392693	0.0982829274060687	0.735264735264735	0.735264735264735	rs1781145	0.7539
1	RN7SL657P	1	1000	1290840	1391132	0.0982829274060687	0.755244755244755	0.755244755244755	rs1781145	0.7539
1	ANKRD65	1	1000	1303799	1407149	0.0982829274060687	0.749250749250749	0.749250749250749	rs1781145	0.7539
1	TMEM88B	1	1000	1311507	1413167	0.0982829274060687	0.754245754245754	0.754245754245754	rs1781145	0.7539
1	LINC01770	1	1000	1315918	1419953	0.0982829274060687	0.772227772227772	0.772227772227772	rs1781145	0.7539
1	VWA1	1	1000	1320240	1428262	0.0982829274060687	0.762237762237762	0.762237762237762	rs1781145	0.7539
1	ATAD3C	1	1000	1335068	1455538	0.0982829274060687	0.763236763236763	0.763236763236763	rs1781145	0.7539
1	ATAD3B	1	1000	1357148	1483228	0.0982829274060687	0.744255744255744	0.744255744255744	rs1781145	0.7539
1	GNB1	1	1000	1666723	1872556	1.79844996140825	0.153846153846154	0.153846153846154	rs11260622	0.1799
1	CFAP74	8	1000	1803389	1985276	3.29647272753879	0.785214785214785	0.781218781218781	rs35020387	0.279000000000001
1	GABRD	26	1000	1900736	2012197	13.9421184573439	0.817182817182817	0.729270729270729	rs2459986	0.0287899999999999
1	PRKCZ	62	1000	1931908	2166834	53.865579313884	0.523476523476524	0.644355644355644	rs2459986	0.0287899999999999
1	PRKCZ-AS1	20	1000	2063232	2165828	21.1304387815002	0.341658341658342	0.473526473526474	rs115702560	0.08448
1	FAAP20	19	1000	2065899	2194159	20.1870193495282	0.333666333666334	0.47952047952048	rs115702560	0.08448
1	SKI	18	1000	2110133	2291558	19.8672752902749	0.355644355644356	0.632367632367632	rs2173049	0.0783600000000007
1	MORN1	15	1000	2202691	2373146	14.1281705190419	0.468531468531469	0.529470529470529	rs2173049	0.0783600000000007
1	RER1	10	1000	2273213	2386883	7.5962455278663	0.549450549450549	0.503496503496504	rs2840528	0.1582
1	PEX10	6	1000	2285402	2395236	3.5371543789826	0.699300699300699	0.61038961038961	rs2840542	0.1908
1	PLCH2	6	1000	2307418	2486969	0.764802078651025	0.979020979020979	0.988011988011988	rs1123571	0.5958
1	PANK4	4	1000	2389971	2508067	1.14518255634074	0.793206793206793	0.744255744255744	rs4310388	0.3812
1	HES5	4	1000	2410183	2511684	1.14518255634074	0.782217782217782	0.713286713286713	rs4310388	0.3812
1	TNFRSF14-AS1	4	1000	2431358	2538470	1.468014276575	0.688311688311688	0.674325674325674	rs4310388	0.3812
1	TNFRSF14	4	1000	2437077	2546821	1.468014276575	0.705294705294705	0.709290709290709	rs4310388	0.3812
1	PRXL2B	3	1000	2467929	2572908	2.22951023043018	0.458541458541459	0.581418581418581	rs11590198	0.3185
1	MMEL1	3	1000	2472077	2614429	2.22951023043018	0.463536463536464	0.59040959040959	rs11590198	0.3185
1	TTC34	8	1000	2517414	2768282	3.92363686872351	0.607392607392607	0.732267732267732	rs11590198	0.3185
1	PRDM16-DT	3	1000	2926178	3035001	2.28333119218077	0.529470529470529	0.414585414585415	rs2993493	0.1632
1	PRDM16	46	1000	2935731	3405185	34.2014084344493	0.732267732267732	0.739260739260739	rs4233024	0.0618000000000001
1	ARHGEF16	12	1000	3320989	3447677	12.2468838196653	0.415584415584416	0.508491508491508	rs12059504	0.0682899999999996
1	MEGF6	6	1000	3356483	3578059	4.80811555822906	0.511488511488511	0.46953046953047	rs12059504	0.0682899999999996
1	MIR551A	1	1000	3427258	3527354	0.19718830708051	0.65034965034965	0.65034965034965	rs4648392	0.657
1	TPRG1L	2	1000	3491565	3596691	1.10618484012981	0.553446553446553	0.520479520479521	rs3765692	0.3326
1	WRAP73	2	1000	3497330	3619325	1.10618484012981	0.508491508491508	0.481518481518482	rs3765692	0.3326
1	TP73	12	1000	3519083	3702765	6.86769715497498	0.81018981018981	0.809190809190809	rs3765764	0.1051
1	TP73-AS1	10	1000	3602164	3713900	5.76151231484517	0.753246753246753	0.77022977022977	rs3765764	0.1051
1	CCDC27	10	1000	3613023	3738209	5.76151231484517	0.743256743256743	0.771228771228771	rs3765764	0.1051
1	SMIM1	7	1000	3639324	3742546	1.84137116335324	0.94005994005994	0.976023976023976	rs3737593	0.5089
1	LRRC47	8	1000	3645121	3763068	1.84646542949173	0.956043956043956	0.983016983016983	rs3737593	0.5089
1	RN7SL574P	6	1000	3649378	3749673	1.47136333307982	0.912087912087912	0.951048951048951	rs3737593	0.5089
1	CEP104	15	1000	3678644	3823778	13.352070415052	0.484515484515485	0.353646353646354	rs3205087	0.0369899999999998
1	DFFB	10	1000	3723830	3851993	12.4391210145318	0.273726273726274	0.24975024975025	rs3205087	0.0369899999999998
1	C1orf174	10	1000	3755688	3866857	12.4391210145318	0.25974025974026	0.245754245754246	rs3205087	0.0369899999999998
1	LINC01134	9	1000	3766935	3883789	12.4340267483933	0.223776223776224	0.243756243756244	rs3205087	0.0369899999999998
1	LINC01346	9	1000	3950624	4065322	17.7150612568589	0.0819180819180819	0.190809190809191	rs4654482	0.03407
1	LINC01345	9	1000	3954606	4059040	17.7150612568589	0.0819180819180819	0.180819180819181	rs4654482	0.03407
1	LINC02780	15	1000	3986192	4122759	23.4883967220661	0.120879120879121	0.256743256743257	rs4654482	0.03407
1	EEF1DP6	4	100000	4185587	4285959	15.0521465862972	0.011929880701193	0.017629823701763	rs12123330	0.00453
1	LINC01777	9	1000	4422086	4534749	5.02751010374851	0.634365634365634	0.462537462537463	rs12407583	0.1013
1	LINC01646	6	1000	4581540	4704069	1.2176245982365	0.965034965034965	0.973026973026973	rs2101195	0.4756
1	AJAP1	25	1000	4664791	4902594	34.6032967986891	0.171828171828172	0.173826173826174	rs17345273	0.02536
1	LINC02781	8	1000	4983440	5091628	10.8774412563113	0.22977022977023	0.203796203796204	rs6702660	0.04958
1	LINC02782	6	1000	5096518	5200959	8.26519042657851	0.228771228771229	0.186813186813187	rs10799157	0.0317
1	MIR4689	6	1000	5872731	5972801	6.35442023460394	0.338661338661339	0.455544455544456	rs2485655	0.144
1	NPHP4	10	1000	5872870	6102533	8.64643234052708	0.467532467532468	0.612387612387612	rs2485655	0.144
1	KCNAB2	10	1000	6001525	6211253	11.1056780942789	0.335664335664336	0.420579420579421	rs17029103	0.0803500000000006
1	CHD5	11	1000	6111852	6290183	11.2562986242944	0.422577422577423	0.445554445554446	rs17029103	0.0803500000000006
1	RPL22	7	1000	6191328	6319449	4.35130753468515	0.608391608391608	0.573426573426573	rs12070308	0.1573
1	RNF207	7	1000	6215534	6331359	3.37079495128523	0.729270729270729	0.6003996003996	rs12070308	0.1573
1	ICMT	7	1000	6231252	6346032	2.67907306432934	0.804195804195804	0.695304695304695	rs12070308	0.1573
1	LINC00337	7	1000	6246299	6349504	2.67907306432934	0.816183816183816	0.702297702297702	rs12070308	0.1573
1	HES3	7	1000	6254251	6355638	2.67907306432934	0.792207792207792	0.692307692307692	rs12070308	0.1573
1	GPR153	8	1000	6257405	6371035	2.6791034752545	0.853146853146853	0.732267732267732	rs12070308	0.1573
1	ACOT7	7	1000	6274328	6504451	0.952441597639595	0.975024975024975	0.966033966033966	rs3789504	0.5351
1	HES2	4	1000	6422477	6534730	1.59106061563322	0.707292707292707	0.8001998001998	rs14708	0.4125
