Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.1-pvalue	Best-SNP	SNP-pvalue
1	PLEKHN1	1	1e+05	966496	975865	3.2771692022834	0.0704292957070429	0.0704292957070429	rs9442372	0.0702499999999996
1	PERM1	1	1e+05	975203	982093	3.2771692022834	0.0696693033069669	0.0696693033069669	rs9442372	0.0702499999999996
1	HES4	1	1e+05	998961	1000172	3.2771692022834	0.0707892921070789	0.0707892921070789	rs9442372	0.0702499999999996
1	ISG15	2	1000	1001137	1014541	3.44662040766412	0.186813186813187	0.125874125874126	rs9442372	0.0702499999999996
1	AGRN	4	1000	1020122	1056118	6.30143648713148	0.16983016983017	0.226773226773227	rs9442372	0.0702499999999996
1	RNF223	6	1000	1070965	1074307	3.19802106350103	0.762237762237762	0.731268731268731	rs4970362	0.203
1	C1orf159	10	1000	1081817	1116361	6.84914629379387	0.669330669330669	0.561438561438561	rs3766186	0.0757900000000001
1	LINC01342	9	1000	1137016	1144056	6.67969508841315	0.606393606393606	0.464535464535465	rs3766186	0.0757900000000001
1	MIR200B	6	1000	1167103	1167198	3.78049127547039	0.653346653346653	0.355644355644356	rs3766186	0.0757900000000001
1	MIR200A	6	1000	1167862	1167952	3.78049127547039	0.647352647352647	0.338661338661339	rs3766186	0.0757900000000001
1	MIR429	6	1000	1169004	1169087	3.78049127547039	0.639360639360639	0.333666333666334	rs3766186	0.0757900000000001
1	TTLL10-AS1	5	1000	1173055	1179555	3.6537167053541	0.562437562437562	0.301698301698302	rs3766186	0.0757900000000001
1	TTLL10	5	1000	1173055	1179555	3.6537167053541	0.575424575424575	0.290709290709291	rs3766186	0.0757900000000001
1	TNFRSF18	4	1000	1203507	1206691	3.56008471879265	0.455544455544456	0.282717282717283	rs3766186	0.0757900000000001
1	TNFRSF4	3	1000	1211325	1214138	3.39018393578167	0.343656343656344	0.212787212787213	rs3766186	0.0757900000000001
1	SDF4	2	1000	1216907	1232031	0.23723759094715	0.899100899100899	0.878121878121878	rs10399878	0.6281
1	B3GALT6	2	1000	1232264	1235041	0.23723759094715	0.877122877122877	0.852147852147852	rs10399878	0.6281
1	C1QTNF12	2	1000	1242445	1246722	0.23723759094715	0.893106893106893	0.872127872127872	rs10399878	0.6281
