#Best Lambda:	10
#Best Eta:	4641.59
#Selected SNP ID	CHR	Positions
rs10736303	10	123334457
rs11200014	10	123334930
rs4752570	10	123337066
rs2912780	10	123337117
rs45631548	10	123337182
rs2981579	10	123337335
rs1078806	10	123338975
rs2981578	10	123340311
rs45631629	10	123340664
rs4752571	10	123342567
rs1219651	10	123344501
rs2981575	10	123346116
rs1219648	10	123346190
rs45631601	10	123348389
rs2912774	10	123348662
rs45631552	10	123348902
rs45631647	10	123350216
rs45631588	10	123351302
rs2420946	10	123351324
rs2162540	10	123352136
rs2981582	10	123352317
rs45631604	10	123353869
