Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.1-pvalue	Best-SNP	SNP-pvalue
1	PLEKHN1	1	1e+05	966496	975865	3.82245803477075	0.051159488405116	0.051159488405116	rs9442372	0.0505700000000002
1	PERM1	1	1e+05	975203	982093	3.82245803477075	0.0506094939050609	0.0506094939050609	rs9442372	0.0505700000000002
1	HES4	1	1e+05	998961	1000172	3.82245803477075	0.049589504104959	0.049589504104959	rs9442372	0.0505700000000002
1	ISG15	2	1000	1001137	1014541	4.11062124452341	0.137862137862138	0.115884115884116	rs9442372	0.0505700000000002
1	AGRN	4	1000	1020122	1056118	6.41515662534068	0.175824175824176	0.178821178821179	rs9442372	0.0505700000000002
1	RNF223	6	1000	1070965	1074307	3.02290088821661	0.784215784215784	0.786213786213786	rs4970362	0.2445
1	C1orf159	10	1000	1081817	1116361	5.8800315989311	0.789210789210789	0.71028971028971	rs3766186	0.1111
1	LINC01342	9	1000	1137016	1144056	5.59186838917844	0.736263736263736	0.608391608391608	rs3766186	0.1111
1	MIR200B	6	1000	1167103	1167198	3.11628886646517	0.744255744255744	0.458541458541459	rs3766186	0.1111
1	MIR200A	6	1000	1167862	1167952	3.11628886646517	0.737262737262737	0.443556443556444	rs3766186	0.1111
1	MIR429	6	1000	1169004	1169087	3.11628886646517	0.736263736263736	0.406593406593407	rs3766186	0.1111
1	TTLL10-AS1	5	1000	1173055	1179555	2.86589801313397	0.695304695304695	0.431568431568432	rs3766186	0.1111
1	TTLL10	5	1000	1173055	1179555	2.86589801313397	0.69030969030969	0.435564435564436	rs3766186	0.1111
1	TNFRSF18	4	1000	1203507	1206691	3.0765318243512	0.543456543456543	0.365634365634366	rs3766186	0.1111
1	TNFRSF4	3	1000	1211325	1214138	2.92597101089663	0.41958041958042	0.314685314685315	rs3766186	0.1111
1	SDF4	2	1000	1216907	1232031	0.38746692352117	0.822177822177822	0.781218781218781	rs10399878	0.5383
1	B3GALT6	2	1000	1232264	1235041	0.38746692352117	0.824175824175824	0.777222777222777	rs10399878	0.5383
1	C1QTNF12	2	1000	1242445	1246722	0.38746692352117	0.804195804195804	0.761238761238761	rs10399878	0.5383
1	UBE2J2	2	1000	1253908	1273885	0.38746692352117	0.815184815184815	0.78021978021978	rs10399878	0.5383
1	LINC01786	1	1000	1275222	1280420	0.378699621101695	0.528471528471528	0.528471528471528	rs10399878	0.5383
1	SCNN1D	1	1000	1280435	1292029	0.378699621101695	0.515484515484515	0.515484515484515	rs10399878	0.5383
1	DVL1	1	1000	1335275	1349350	0.0576806806462349	0.805194805194805	0.805194805194805	rs1781145	0.8102
1	MIR6808	1	1000	1339649	1339708	0.0576806806462349	0.808191808191808	0.808191808191808	rs1781145	0.8102
1	MXRA8	1	1000	1352688	1361777	0.0576806806462349	0.819180819180819	0.819180819180819	rs1781145	0.8102
1	AURKAIP1	1	1000	1373729	1375495	0.0576806806462349	0.817182817182817	0.817182817182817	rs1781145	0.8102
1	NDUFB4P8	1	1000	1378665	1379032	0.0576806806462349	0.822177822177822	0.822177822177822	rs1781145	0.8102
1	CCNL2	1	1000	1385710	1399328	0.0576806806462349	0.799200799200799	0.799200799200799	rs1781145	0.8102
1	MRPL20-AS1	1	1000	1399521	1402046	0.0576806806462349	0.798201798201798	0.798201798201798	rs1781145	0.8102
1	MRPL20	1	1000	1399521	1402046	0.0576806806462349	0.812187812187812	0.812187812187812	rs1781145	0.8102
1	RN7SL657P	1	1000	1405459	1405752	0.0576806806462349	0.807192807192807	0.807192807192807	rs1781145	0.8102
1	ANKRD65	1	1000	1418419	1421769	0.0576806806462349	0.793206793206793	0.793206793206793	rs1781145	0.8102
1	TMEM88B	1	1000	1426127	1427787	0.0576806806462349	0.791208791208791	0.791208791208791	rs1781145	0.8102
1	LINC01770	1	1000	1430538	1434573	0.0576806806462349	0.813186813186813	0.813186813186813	rs1781145	0.8102
1	VWA1	1	1000	1434860	1442882	0.0576806806462349	0.829170829170829	0.829170829170829	rs1781145	0.8102
1	SLC35E2A	1	1e+05	1724837	1745999	2.9593927657355	0.0848791512084879	0.0848791512084879	rs11260622	0.0853800000000001
1	NADK	1	1e+05	1751231	1780457	2.9593927657355	0.0850591494085059	0.0850591494085059	rs11260622	0.0853800000000001
