Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.1-pvalue	Best-SNP	SNP-pvalue
1	SCYL3	756	1000	169768771	169913408	513.980535807504	0.68031968031968	0.526473526473527	rs115682647	0.00490000000000001
1	C1orf112	1778	1000	169581244	169873221	1622.61282382245	0.451548451548452	0.432567432567433	rs188164308	0.004
1	FGR	379	1000	27888574	28011696	353.733354467374	0.427572427572428	0.520479520479521	rs114579684	0.00929999999999998
1	CFH	886	1000	196571007	196766634	1259.31989690606	0.0859140859140859	0.132867132867133	rs34231058	0.0016
1	STPG1	778	1000	24633488	24793424	469.397705722991	0.935064935064935	0.798201798201798	rs186594671	0.00519999999999999
1	NIPAL3	721	1000	24692291	24849466	347.648125135682	0.99000999000999	0.904095904095904	rs144678600	0.00559999999999999
1	AK2	542	100000	33423540	33596597	988.716715548894	0.028889711102889	0.0758992410075899	rs76114965	0.00970000000000001
1	KDM1A	452	1000	23295935	23460182	595.727576264605	0.140859140859141	0.113886113886114	rs150493232	0.0015
1	TTC22	737	1000	55195384	55316996	982.345399718421	0.166833166833167	0.205794205794206	rs111263965	0.00229999999999999
1	ST7L	722	1000	113016135	113213447	636.24342954388	0.448551448551449	0.181818181818182	rs138969301	0.00359999999999999
1	SELE	967	1000	169641780	169783846	1004.74356115213	0.317682317682318	0.323676323676324	rs188164308	0.004
1	DNAJC11	687	1000	6644227	6811984	733.778460821864	0.293706293706294	0.208791208791209	rs182131239	0.002
1	FMO3	634	1000	171010041	171136959	678.047334228721	0.342657342657343	0.458541458541459	rs151013187	0.0048
1	E2F2	487	100000	23782929	23907725	704.738977682398	0.0695993040069599	0.0686393136068639	rs112336699	1.9e-5
1	CAMK1G	498	1000	209707058	209837284	482.012528943044	0.463536463536464	0.41958041958042	rs74333457	0.00290000000000001
1	CDK11A	230	1000	1583817	1705796	305.902486988279	0.213786213786214	0.117882117882118	rs139401485	0.00519999999999999
1	NADK	294	100000	1632670	1761896	396.359689715694	0.174778252217478	0.0935790642093579	rs139401485	0.00519999999999999
1	CSDE1	483	1000	115209533	115351297	597.549589834918	0.145854145854146	0.174825174825175	rs78691195	0.0016
1	PAX7	1075	1000	18907339	19125360	1160.38155632431	0.263736263736264	0.297702297702298	rs182676740	0.00109999999999998
1	MASP2	519	1000	11036579	11157290	560.452780242193	0.280719280719281	0.325674325674326	rs112772598	0.0068
1	FAM76A	450	1000	28002489	28139633	300.856409307282	0.694305694305694	0.827172827172827	rs189421663	0.00859999999999995
1	TRAF3IP3	495	1000	209879376	210005665	403.959229951199	0.523476523476524	0.594405594405594	rs2272868	0.00269999999999999
1	SPRTN	571	100000	231422849	231540769	1916.16957975821	0.00922990770092299	0.012449875501245	rs56105761	6.19999999999995e-4
1	EEF1AKNMT	652	1000	171700799	171833163	560.697680304923	0.519480519480519	0.263736263736264	rs72703120	0.0039
1	SCMH1	1286	1000	41442871	41757826	1593.5562403191	0.155844155844156	0.257742257742258	rs150486415	8.2000000000002e-5
1	FMO1	577	1000	171167609	171305117	616.758880635098	0.321678321678322	0.365634365634366	rs187381780	0.00130000000000002
1	ELOA	323	100000	24019644	24138549	402.893862206691	0.104428955710443	0.0691693083069169	rs9424391	0.002
1	LYPLA2	270	1000	24067634	24172029	301.851232514983	0.147852147852148	0.295704295704296	rs78498045	0.014
1	CLCN6	927	1000	11816152	11958136	892.35350625434	0.411588411588412	0.436563436563437	rs6695740	0.0025
